attack_date,attack_year,attack_type,attack_state,attack_location,activity,number_of_attacks,latitude,longitude,ice_cream
28-Aug-2020,2020.0,Unprovoked,California,"Shelter Cove, Humboldt County",Kayak fishing,1,40.0304212,-124.0730866,0
23-Aug-2020,2020.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Standing,64,29.0258191,-80.9269984,15
22-Aug-2020,2020.0,Unprovoked,Florida,"St. Augustine Beach, Anastasia Island, St. Johns County",Surfing,1,29.8439828,-81.2711546,15
20-Aug-2020,2020.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,64,29.0258191,-80.9269984,15
10-Aug-2020,2020.0,Provoked,Florida,"Off Gasparilla Island, Charlotte County",Fishing,1,26.7519472,-82.2624037,5
02-Aug-2020,2020.0,Unprovoked,Virgin Islands,"Candle Reef, St. Croix",Snorkeling,1,17.7613587,-64.6518801,15
31-Jul-2020,2020.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
31-Jul-2020,2020.0,Unprovoked,Alabama,"Orange Beach, Baldwin County",Swimming,1,30.2697033,-87.5867598,11
29-Jul-2020,2020.0,Unprovoked,Florida,Florida Keys,Diving,1,25.0273356,-81.5357506,0
27-Jul-2020,2020.0,Unprovoked,Maine,"Bailey Island, Cumberland County",Swimming,1,43.7366927,-69.9940654,3
23-Jul-2020,2020.0,Unprovoked,Bahamas,Spanish Cay,Spearfishing,1,26.9408454,-77.5268296,0
23-Jul-2020,2020.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Standing,64,29.0258191,-80.9269984,15
22-Jul-2020,2020.0,Unprovoked,North Carolina,"Neuse River, Craven County",Treading water,1,35.1312747,-76.5038153,0
19-Jul-2020,2020.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Wading,14,28.3200067,-80.6075513,12
14-Jul-2020,2020.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Wading,12,28.0683496,-80.5603303,11
10-Jul-202,2020.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Surfing,14,28.3200067,-80.6075513,12
22-Jun-2020,2020.0,Unprovoked,Florida,"Homestead, Miami-Dade County",Playing,1,25.4687224,-80.4775569,15
20-Jun-2020,2020.0,Unprovoked,North Carolina,"Salvo, Dare County",Body Surfing,1,35.54018,-75.4729347,12
01-Jun-2020,2020.0,Unprovoked,Hawaii,"Davidsons Beach, Kauai",Surfing,1,21.9641667,-159.7088889,12
09-May-2020,2020.0,Unprovoked,California,"Sand Dollar Beach, Santa Cruz County",Surfing,1,36.9243764,-121.8516977,6
01-May-2020,2020.0,Unprovoked,California,"Summerland, Santa Barbara County",Swimming,1,34.4220518,-119.5981636,7
07-Apr-2020,2020.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Surfing,14,28.3200067,-80.6075513,12
27-Mar-2020,2020.0,Unprovoked,California,"Pleasure Point, Santa Cruz County",Stand-Up Paddleboarding,2,36.9635135,-121.9648975,15
22-Mar-2020,2020.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
22-Mar-2020,2020.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
